Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,114,129,3994,11,3342,7
00:05,114,130,3972,11,3312,7
00:10,114,120,3897,11,3329,7
00:15,114,129,3838,11,3287,7
00:20,114,128,3798,11,3229,7
00:25,114,122,3781,11,3224,7
00:30,114,129,3798,11,3225,7
00:35,114,129,3775,11,3209,7
00:40,115,129,3767,12,3183,7
00:45,114,129,3742,11,3183,7
00:50,115,129,3752,11,3163,7
00:55,115,129,3752,11,3128,7
01:00,114,129,3719,11,3118,7
01:05,115,122,3693,11,3125,7
01:10,115,129,3707,11,3125,7
01:15,115,129,3675,11,3159,7
01:20,115,129,3617,11,3180,7
01:25,115,129,3560,11,3166,7
01:30,115,129,3535,11,3167,7
01:35,115,129,3533,11,3167,7
01:40,115,129,3551,11,3147,7
01:45,115,129,3542,11,3122,7
01:50,115,128,3540,11,3107,7
01:55,115,128,3530,11,3105,7
02:00,115,129,3537,11,3117,7
02:05,115,128,3546,10,3089,7
02:10,115,128,3500,11,3097,7
02:15,115,129,3491,11,3045,7
02:20,115,119,3478,11,3012,7
02:25,115,129,3494,11,2984,7
02:30,115,129,3488,11,2958,7
02:35,115,130,3485,10,2953,7
02:40,115,120,3476,10,2958,7
02:45,115,129,3491,10,2954,7
02:50,115,129,3482,10,2951,7
02:55,115,129,3487,10,2936,7
03:00,115,128,3477,11,2944,7
03:05,115,128,3483,10,2943,7
03:10,115,128,3500,10,2924,7
03:15,115,128,3513,10,2890,7
03:20,115,129,3507,10,2890,7
03:25,115,128,3486,10,2912,7
03:30,115,128,3484,10,2918,7
03:35,115,122,3484,10,2901,7
03:40,115,127,3483,10,2897,7
03:45,115,128,3486,10,2883,7
03:50,115,128,3497,10,2864,7
03:55,115,122,3489,10,2863,7
04:00,115,128,3500,10,2847,7
04:05,115,129,3510,10,2827,7
04:10,115,128,3490,10,2885,7
04:15,115,129,3511,10,2891,7
04:20,116,129,3569,10,2872,7
04:25,116,130,3588,10,2885,7
04:30,117,131,3631,10,2898,7
04:35,117,132,3631,11,2903,7
04:40,117,133,3639,11,2908,7
04:45,117,133,3607,11,2943,7
04:50,117,132,3585,11,2934,7
04:55,117,126,3607,11,2924,7
05:00,117,133,3616,11,2950,7
05:05,117,134,3631,11,2922,7
05:10,117,134,3644,10,2906,7
05:15,117,134,3640,10,2915,7
05:20,117,134,3639,10,2928,7
05:25,117,134,3638,10,2929,7
05:30,117,135,3641,10,2940,7
05:35,117,128,3636,11,2949,7
05:40,117,135,3632,11,2982,7
05:45,117,135,3642,11,2996,7
05:50,117,134,3659,11,3002,7
05:55,117,128,3677,11,2998,7
06:00,117,135,3655,10,3028,7
06:05,117,136,3646,10,3123,7
06:10,117,137,3639,11,3283,7
06:15,117,137,3639,11,3388,7
06:20,117,136,3628,11,3431,7
06:25,118,136,3666,11,3472,7
06:30,115,136,3675,11,3500,7
06:35,111,137,3692,11,3480,7
06:40,112,138,3715,11,3474,7
06:45,112,138,3713,11,3492,7
06:50,112,138,3707,11,3513,7
06:55,112,139,3701,11,3530,7
07:00,111,141,3727,11,3501,7
07:05,112,141,3768,11,3475,7
07:10,112,141,3794,11,3479,7
07:15,113,140,3747,10,3495,7
07:20,116,140,3717,10,3485,7
07:25,116,139,3725,10,3476,7
07:30,116,130,3696,10,3453,7
07:35,116,141,3684,10,3400,7
07:40,117,142,3593,11,3435,7
07:45,114,134,3537,11,3313,7
07:50,114,139,3526,11,3297,7
07:55,114,139,3496,11,3255,7
08:00,114,139,3481,11,3230,7
08:05,115,139,3503,11,3208,7
08:10,115,139,3489,11,3175,7
08:15,116,134,3468,11,3094,7
08:20,116,140,3435,11,3089,7
08:25,116,140,3421,11,3074,7
08:30,116,140,3390,11,3058,7
08:35,116,134,3384,11,3007,7
08:40,116,140,3345,11,3020,7
08:45,117,141,3300,11,3048,7
08:50,117,141,3242,11,3084,7
08:55,117,141,3203,11,3096,7
09:00,117,141,3195,11,3106,7
09:05,117,135,3230,11,3095,7
09:10,117,140,3271,11,3203,7
09:15,117,141,3272,11,3129,7
09:20,117,142,3280,11,3063,7
09:25,117,134,3263,12,3054,7
09:30,117,138,3228,11,3009,7
09:35,118,140,3232,12,2998,7
09:40,118,139,3235,12,3022,7
09:45,118,130,3225,12,3014,7
09:50,118,137,3230,12,2996,7
09:55,118,137,3200,12,2972,7
10:00,118,137,3191,11,2903,7
10:05,118,132,3174,11,2894,7
10:10,118,145,3172,11,2904,7
10:15,118,145,3143,11,2912,7
10:20,118,135,3113,11,2807,7
10:25,118,145,3110,11,2767,7
10:30,117,146,3094,11,2739,7
10:35,117,146,3089,11,2679,7
10:40,117,136,3053,11,2652,7
10:45,117,146,3058,11,2628,7
10:50,117,146,3050,11,2637,7
10:55,117,140,3014,11,2618,7
11:00,117,147,2991,11,2579,7
11:05,117,148,2993,11,2504,7
11:10,117,148,2956,11,2551,7
11:15,117,141,2917,11,2560,7
11:20,118,148,2875,11,2521,7
11:25,118,149,2847,11,2486,7
11:30,118,150,2845,11,2487,7
11:35,119,145,2837,11,2472,7
11:40,119,153,2809,12,2481,7
11:45,119,151,2798,11,2428,7
11:50,119,149,2781,11,2445,7
11:55,119,150,2776,11,2456,7
12:00,119,150,2803,11,2498,7
12:05,120,150,2816,11,2475,7
12:10,120,150,2824,12,2481,7
12:15,120,144,2857,12,2547,7
12:20,119,149,2888,12,2562,7
12:25,119,148,2880,12,2622,7
12:30,120,148,2878,11,2552,7
12:35,119,149,2845,11,2575,7
12:40,120,150,2893,11,2504,7
12:45,120,150,2803,11,2558,7
12:50,120,150,2750,12,2574,7
12:55,121,144,2781,11,2462,7
13:00,121,151,2823,12,2490,7
13:05,120,151,2851,11,2368,7
13:10,121,151,2852,12,2379,7
13:15,121,145,2874,12,2401,7
13:20,122,151,2865,12,2494,7
13:25,121,151,2874,12,2591,7
13:30,120,141,2867,12,2582,7
13:35,120,151,2941,12,2555,7
13:40,120,150,2989,11,2483,7
13:45,120,150,2881,11,2484,7
13:50,120,150,2882,11,2480,7
13:55,120,150,2870,11,2491,7
14:00,120,151,2897,11,2519,7
14:05,120,151,2924,12,2540,7
14:10,121,141,2864,11,2533,7
14:15,121,151,2866,12,2671,7
14:20,121,150,2907,12,2700,7
14:25,121,150,2905,11,2774,7
14:30,120,141,2978,12,2889,7
14:35,120,150,3068,12,2944,7
14:40,120,148,3143,12,2893,7
14:45,120,142,3259,12,2904,7
14:50,119,142,3271,12,2903,7
14:55,118,141,3329,12,2854,7
15:00,118,141,3351,12,2901,7
15:05,118,141,3368,11,3007,7
15:10,117,141,3372,11,3059,7
15:15,118,141,3354,12,3129,7
15:20,118,142,3440,12,3227,7
15:25,118,136,3520,11,3243,7
15:30,118,143,3623,11,3207,7
15:35,118,143,3741,11,3203,7
15:40,119,144,3842,11,3237,7
15:45,118,141,3878,11,3282,7
15:50,118,139,3907,11,3327,7
15:55,118,139,3953,12,3350,7
16:00,118,139,3929,12,3469,7
16:05,118,139,3962,11,3520,7
16:10,117,139,3854,11,3563,7
16:15,117,138,3722,11,3691,7
16:20,117,129,3690,11,3773,7
16:25,118,139,3726,11,3869,7
16:30,116,139,3798,12,3917,7
16:35,113,140,3906,11,3968,7
16:40,114,131,4032,11,3991,7
16:45,113,140,4074,10,4034,7
16:50,113,140,4134,10,4050,7
16:55,112,135,4240,10,4037,7
17:00,112,142,4243,10,4156,7
17:05,112,143,4230,10,4275,7
17:10,112,134,4185,10,4393,7
17:15,112,146,4130,10,4531,7
17:20,113,147,4128,10,4620,7
17:25,113,148,4145,10,4647,7
17:30,113,138,4133,10,4674,7
17:35,113,148,4145,10,4680,7
17:40,113,147,4092,10,4689,7
17:45,112,146,4124,10,4637,7
17:50,112,145,4123,10,4633,7
17:55,113,145,4049,10,4701,7
18:00,114,143,3958,10,4692,7
18:05,115,143,3937,10,4695,7
