Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,0,4431,993,345,201,445,12,2258,6726,2911,-20,7962,0
00:05,0,4406,991,344,201,444,12,2257,6815,2798,57,7914,0
00:10,0,4390,991,342,201,432,11,2256,6873,2699,20,7911,0
00:15,0,4365,992,342,201,429,11,2257,6921,2616,-8,7895,0
00:20,0,4354,992,342,201,429,11,2257,6793,2584,2,7924,0
00:25,0,4327,992,343,201,428,11,2257,6356,2571,19,7976,0
00:30,0,4309,992,344,201,428,11,2258,6295,2565,7,7950,0
00:35,0,4298,992,344,201,426,11,2258,6261,2546,-10,7898,0
00:40,0,4279,993,345,201,426,11,2258,6248,2537,-20,7804,0
00:45,0,4257,994,343,201,426,11,2258,6159,2533,-21,7797,0
00:50,0,4238,992,344,201,424,11,2257,6121,2528,-32,7771,0
00:55,0,4220,994,345,201,425,11,2258,6125,2506,-28,7704,0
01:00,0,4201,992,347,201,424,11,2258,6115,2489,-30,7616,0
01:05,0,4202,993,346,201,424,11,2258,6109,2462,-26,7568,0
01:10,0,4202,992,342,201,424,12,2258,6113,2431,7,7462,0
01:15,0,4191,994,340,201,424,12,2257,5960,2393,82,7460,0
01:20,0,4190,993,339,201,424,12,2257,5868,2363,8,7505,0
01:25,0,4154,993,339,201,423,12,2258,5888,2346,-4,7493,0
01:30,0,4129,993,342,201,422,12,2257,5763,2345,-1,7542,0
01:35,0,4121,993,347,201,423,12,2257,5703,2336,-7,7520,0
01:40,0,4106,994,345,200,422,11,2256,5691,2333,-11,7468,0
01:45,0,4097,994,346,200,421,12,2257,5683,2319,-11,7403,0
01:50,0,4055,994,345,201,422,11,2258,5663,2320,-5,7396,0
01:55,0,3990,994,347,201,423,12,2258,5642,2302,0,7369,0
02:00,0,3931,994,345,200,396,12,2257,5658,2182,0,7437,0
02:05,0,3888,994,346,200,381,12,2258,5773,2013,-7,7482,0
02:10,0,3844,995,346,200,381,12,2257,5891,1944,-1,7469,0
02:15,0,3785,995,346,201,381,11,2257,5878,1896,0,7493,0
02:20,0,3739,996,346,200,380,11,2258,5898,1865,0,7498,0
02:25,0,3687,996,348,200,380,11,2258,5901,1853,0,7514,0
02:30,0,3633,996,350,200,381,12,2259,5928,1865,0,7434,0
02:35,0,3596,997,347,201,381,12,2258,5890,1857,0,7464,0
02:40,0,3567,996,347,201,381,11,2258,5880,1847,0,7449,0
02:45,0,3513,995,346,201,382,11,2259,5907,1857,-8,7409,0
02:50,0,3472,996,345,201,382,12,2259,5920,1849,-32,7432,0
02:55,0,3413,996,345,201,382,12,2258,5915,1856,-15,7444,0
03:00,0,3378,996,346,201,383,12,2260,5884,1858,-2,7429,0
03:05,0,3341,996,348,201,382,12,2260,5959,1883,-1,7381,0
03:10,0,3314,996,346,201,382,12,2259,5974,1896,0,7373,0
03:15,0,3292,997,347,201,383,11,2260,5976,1897,0,7350,0
03:20,0,3273,996,346,201,383,11,2261,5991,1888,0,7343,0
03:25,0,3276,997,348,201,382,11,2260,5992,1884,-3,7303,0
03:30,0,3289,996,348,201,384,11,2261,5992,1891,-4,7270,0
03:35,0,3287,994,350,201,385,11,2260,5982,1889,-6,7268,0
03:40,0,3280,993,348,202,386,11,2261,5981,1895,0,7262,0
03:45,0,3307,992,348,202,386,11,2261,5933,1882,-13,7318,0
03:50,0,3310,985,349,202,385,11,2262,5922,1872,-1,7318,0
03:55,0,3288,978,349,202,384,11,2262,5891,1885,-1,7355,0
04:00,0,3283,978,349,201,381,11,2262,5810,1884,-4,7461,0
04:05,0,3285,978,351,202,380,9,2262,5739,1919,-6,7574,0
04:10,0,3293,980,351,202,380,10,2262,5708,1928,-12,7660,0
04:15,0,3279,981,352,202,379,10,2262,5723,1902,-6,7720,0
04:20,0,3265,980,354,201,380,10,2264,5681,2046,-8,7754,0
04:25,0,3263,980,353,201,379,10,2263,5612,2199,-8,7653,0
04:30,0,3242,981,352,201,379,10,2262,5594,2164,-5,7658,0
04:35,0,3215,985,354,201,379,11,2264,5644,2155,-6,7717,0
04:40,0,3169,985,352,201,380,11,2262,5646,2228,-3,7797,0
04:45,0,3115,986,351,201,382,11,2263,5711,2196,0,7764,0
04:50,0,3056,985,351,201,382,11,2263,5838,2139,14,7815,0
04:55,0,3015,984,351,201,383,11,2262,5847,2231,-1,7880,0
05:00,0,2986,984,354,201,383,11,2263,5878,2306,-34,7887,0
05:05,0,2945,985,359,200,403,12,2264,5886,2565,-35,7862,0
05:10,0,2964,985,362,202,429,12,2264,5849,2641,-26,7871,0
05:15,0,2973,984,361,201,427,12,2263,5869,2545,-21,8000,0
05:20,0,2932,984,361,201,426,12,2263,5965,2544,-6,8013,0
05:25,0,2889,984,359,201,426,11,2262,6005,2552,0,8058,0
05:30,0,2849,984,359,201,427,12,2262,6048,2564,0,8121,0
05:35,0,2822,980,359,201,427,12,2262,6095,2640,-1,8148,0
05:40,0,2854,983,358,201,426,12,2262,6146,2712,0,8132,0
05:45,0,2846,984,359,201,427,11,2263,6172,2719,-6,8036,0
05:50,0,2847,983,359,201,426,11,2262,6176,2721,-20,8077,0
05:55,18,2855,983,358,201,426,11,2261,6122,2713,-25,8067,0
06:00,70,2859,983,360,201,426,10,2263,6059,2641,-39,8193,0
06:05,155,2870,984,369,201,424,11,2262,6182,2671,-38,8232,0
06:10,273,2882,984,368,199,426,11,2260,6322,2688,-20,8221,0
06:15,410,2864,984,370,199,426,11,2261,6275,2688,-6,8216,0
06:20,576,2842,985,371,199,426,12,2262,6114,2645,-1,8338,0
06:25,784,2815,984,372,200,426,12,2261,6076,2754,-25,8224,0
06:30,997,2786,984,370,202,428,11,2262,6048,2744,-37,8152,0
06:35,1231,2756,984,372,201,427,11,2261,6074,2686,-32,8085,0
06:40,1503,2710,984,371,201,427,11,2261,6007,2752,-22,8032,0
06:45,1809,2681,984,374,200,427,11,2262,5763,2679,-18,8044,0
06:50,2123,2650,983,372,200,427,10,2262,5630,2656,-29,8034,0
06:55,2428,2634,984,373,199,427,10,2261,5586,2553,-31,7948,0
07:00,2742,2625,981,370,200,427,9,2261,5744,2580,-31,7641,0
07:05,3071,2617,981,371,200,418,10,2262,5807,2403,15,7573,0
07:10,3391,2635,981,371,201,380,10,2262,5850,2361,40,7474,0
07:15,3733,2647,983,372,199,338,10,2262,5753,2374,83,7310,0
07:20,4115,2652,983,371,198,336,12,2263,5591,2369,83,7163,0
07:25,4505,2632,984,369,199,335,11,2263,5507,2378,53,6945,0
07:30,4912,2639,984,368,198,335,11,2262,5467,2389,14,6667,0
07:35,5313,2640,984,369,196,335,12,2263,5343,2372,13,6550,0
07:40,5677,2635,984,370,197,335,12,2264,5312,2377,-13,6343,0
07:45,6002,2650,984,373,197,336,12,2264,5216,2323,-15,6126,0
07:50,6305,2642,985,373,195,334,11,2263,5124,2235,-8,5984,0
07:55,6576,2614,986,371,196,327,11,2264,5214,2346,6,5672,0
08:00,6841,2579,985,372,196,296,12,2263,5180,2324,0,5590,0
08:05,7120,2555,986,373,196,295,12,2263,5110,2058,12,5749,0
08:10,7374,2519,985,372,196,293,11,2262,5195,1920,-9,5828,0
08:15,7589,2479,985,373,196,292,11,2262,5285,1909,-3,5698,0
08:20,7766,2454,985,374,196,291,11,2262,5280,1894,-16,5593,0
08:25,7928,2425,987,372,198,291,12,2262,5280,1826,-1,5485,0
08:30,8088,2416,986,372,198,290,12,2261,5341,1767,6,5410,0
08:35,8245,2423,986,372,196,289,11,2261,5360,1745,-30,5280,0
08:40,8391,2402,985,370,198,288,11,2261,5292,1709,-38,5273,0
08:45,8538,2385,985,368,198,288,12,2262,5272,1711,-36,5165,0
08:50,8663,2373,986,363,199,287,12,2262,5353,1745,-10,4989,0
08:55,8779,2362,983,358,199,289,12,2261,5387,1804,6,4773,0
09:00,8889,2355,985,356,198,288,10,2262,5405,1971,-4,4561,0
09:05,8996,2354,983,355,198,289,11,2262,5255,1862,-13,4621,0
09:10,9100,2349,984,350,198,291,11,2261,5242,1835,15,4629,0
09:15,9198,2337,984,342,198,292,12,2262,5217,1863,27,4544,0
09:20,9281,2327,984,342,199,293,11,2261,5176,1852,4,4486,0
09:25,9365,2317,980,343,199,293,11,2261,5203,1833,11,4463,0
09:30,9448,2293,983,342,199,293,11,2262,5323,1808,28,4329,0
09:35,9532,2259,980,343,200,292,11,2262,5350,1827,48,4260,0
09:40,9601,2216,983,342,201,293,11,2262,5268,1900,63,4237,0
09:45,9661,2165,983,339,201,294,11,2262,5199,1923,66,4285,0
09:50,9724,2118,983,334,201,296,10,2263,5200,1923,71,4310,0
09:55,9788,2073,982,333,201,296,11,2263,5186,1920,67,4391,0
10:00,9841,2061,983,332,201,296,12,2264,5191,1878,22,4446,0
10:05,9895,2083,982,337,201,294,12,2264,5308,1890,-29,4419,0
10:10,9951,2107,982,337,202,295,11,2264,5352,1897,-58,4394,0
10:15,10003,2084,982,337,201,295,11,2264,5398,1909,-50,4348,0
10:20,10049,2043,983,336,201,295,11,2264,5439,1927,-32,4323,0
10:25,10095,2008,982,331,201,295,13,2264,5474,1936,-20,4285,0
10:30,10138,2012,981,331,201,294,12,2264,5485,1947,-29,4232,0
10:35,10181,2009,982,329,202,294,12,2263,5558,1946,7,4147,0
10:40,10213,2010,982,326,202,296,15,2261,5530,1962,0,4189,0
10:45,10251,1995,981,326,201,300,15,2260,5486,1971,6,4221,0
10:50,10283,1974,982,324,199,299,15,2260,5467,1962,7,4304,0
10:55,10316,1940,981,326,199,298,15,2260,5478,1950,-9,4373,0
11:00,10333,1934,980,328,199,297,15,2258,5562,1955,-14,4279,0
11:05,10337,1908,978,329,199,296,15,2258,5704,1993,-62,4268,0
11:10,10374,1926,977,332,199,304,13,2258,5731,2012,-73,4201,0
11:15,10419,1972,972,337,199,332,13,2258,5675,1986,-72,4181,0
11:20,10440,1984,958,342,199,331,13,2257,5750,1951,-72,4164,0
11:25,10469,1989,955,349,198,330,13,2257,5818,1942,-72,4103,0
11:30,10492,1947,955,354,198,329,13,2258,5971,1956,-36,3949,0
11:35,10479,1931,954,354,198,329,13,2258,6004,2001,-34,3936,0
11:40,10491,1945,954,355,201,331,13,2258,6057,2008,-36,3870,0
11:45,10518,1952,954,357,201,335,13,2258,6101,2003,-52,3835,0
11:50,10552,1965,952,361,201,335,13,2257,6101,2020,-40,3778,0
11:55,10576,1997,953,366,201,336,13,2258,6088,2025,-46,3648,0
12:00,10582,2047,953,369,201,337,13,2257,6092,2014,-79,3650,0
12:05,10586,2043,953,365,200,337,11,2258,6159,2019,-65,3652,0
12:10,10588,2060,952,362,200,336,11,2258,6107,2028,-45,3623,0
12:15,10586,2058,952,365,200,337,10,2258,6083,2043,-10,3615,0
12:20,10580,2071,952,369,201,339,10,2259,6067,2053,13,3637,0
12:25,10581,2080,952,370,200,339,10,2258,6098,2048,1,3643,0
12:30,10580,2131,951,369,200,340,10,2257,6130,2046,0,3625,0
12:35,10578,2134,951,367,201,341,10,2258,6142,2052,14,3699,0
12:40,10578,2157,950,365,201,341,10,2258,6161,2066,15,3763,0
12:45,10581,2189,951,367,201,341,10,2258,6152,2056,7,3774,0
12:50,10585,2188,951,369,201,341,10,2258,6245,2054,36,3774,0
12:55,10600,2211,950,366,201,340,9,2257,6209,2053,24,3793,0
13:00,10627,2242,950,365,201,340,9,2257,6237,2061,17,3778,0
13:05,10622,2233,949,366,201,350,9,2257,6275,2097,-2,3866,0
13:10,10623,2234,949,365,201,362,9,2257,6278,2115,12,3923,0
13:15,10625,2230,948,365,201,363,9,2258,6234,2131,18,3978,0
13:20,10619,2245,948,365,201,337,9,2257,6233,2136,15,4031,0
13:25,10615,2272,949,369,201,335,10,2257,6311,2164,29,4062,0
13:30,10608,2311,947,371,201,334,10,2257,6361,2163,20,4024,0
13:35,10604,2312,948,371,201,334,10,2257,6370,2131,3,4139,0
13:40,10600,2297,946,367,201,335,10,2257,6429,2117,0,4212,0
13:45,10593,2314,947,366,201,334,10,2256,6489,2160,0,4177,0
13:50,10588,2306,947,368,202,334,11,2255,6524,2229,0,4162,0
13:55,10585,2302,946,368,201,334,10,2254,6662,2237,-18,4066,0
14:00,10575,2335,947,368,201,332,10,2253,6856,2210,-35,4071,0
14:05,10561,2330,947,370,201,363,10,2252,6759,2307,-20,4036,0
14:10,10553,2343,947,371,201,361,10,2252,6845,2310,-15,3938,0
14:15,10547,2373,947,371,200,363,11,2252,6982,2295,-14,3918,0
14:20,10507,2391,946,370,200,364,11,2252,7090,2276,3,3940,0
14:25,10397,2416,946,363,201,364,10,2252,7217,2302,31,3962,0
14:30,10377,2394,946,364,201,365,9,2250,7253,2320,19,3997,0
14:35,10354,2441,945,364,201,367,9,2251,7276,2333,-5,4081,0
14:40,10328,2471,946,365,201,365,10,2254,7399,2352,-29,4094,0
14:45,10309,2490,945,362,201,367,10,2254,7474,2370,-13,4104,0
14:50,10298,2480,945,362,201,369,9,2256,7594,2414,-25,4140,0
14:55,10265,2532,945,362,201,369,10,2255,7557,2422,-4,4189,0
15:00,10252,2532,945,363,200,370,10,2257,7449,2357,4,4362,0
15:05,10232,2561,945,364,201,371,9,2257,7566,2276,9,4407,0
15:10,10204,2563,945,365,201,393,11,2258,7752,2265,17,4343,0
15:15,10181,2576,943,365,200,416,10,2258,7700,2286,9,4455,0
15:20,10155,2613,945,362,200,415,10,2258,7762,2310,19,4478,0
15:25,10114,2687,945,365,200,412,10,2259,7856,2295,4,4511,0
15:30,10060,2695,946,365,199,411,10,2260,7975,2300,-6,4562,0
15:35,10017,2686,944,366,200,407,11,2259,8065,2286,-21,4625,0
15:40,9984,2699,944,367,200,409,10,2260,8152,2294,-10,4644,0
15:45,9936,2734,944,366,200,401,10,2260,8225,2323,-23,4683,0
15:50,9885,2740,945,365,200,401,10,2260,8407,2333,-17,4660,0
15:55,9828,2773,944,366,200,409,10,2260,8373,2345,-32,4756,0
16:00,9764,2772,944,366,201,407,10,2261,8300,2388,-51,4958,0
16:05,9705,2772,944,368,202,407,10,2260,8128,2452,-14,5149,0
16:10,9643,2789,944,369,201,410,10,2260,8006,2539,-36,5257,0
16:15,9578,2798,944,347,202,409,11,2260,8058,2561,-10,5305,0
16:20,9506,2780,945,326,202,408,13,2261,8219,2564,-6,5349,0
16:25,9441,2782,945,325,202,405,13,2261,8277,2567,-5,5456,0
16:30,9364,2809,944,325,202,406,13,2262,8331,2572,-1,5516,0
16:35,9281,2800,944,325,202,404,13,2262,8374,2576,-1,5602,0
16:40,9199,2785,945,326,203,401,13,2262,8479,2599,31,5677,0
16:45,9113,2797,944,325,201,406,13,2263,8593,2599,23,5691,0
16:50,9018,2865,944,323,201,405,13,2262,8888,2638,-27,5598,0
16:55,8923,2882,945,325,201,401,13,2263,8941,2682,-22,5609,0
17:00,8811,2897,945,327,201,399,13,2263,8811,2693,-10,5841,0
17:05,8694,2913,944,326,202,437,12,2263,8812,2920,-1,5763,0
17:10,8576,2923,943,326,201,447,12,2262,8688,3079,4,5776,0
17:15,8452,2954,944,326,202,448,12,2263,8597,3137,20,5920,0
17:20,8322,2962,945,325,202,449,12,2262,8633,3166,14,5991,0
17:25,8184,2953,944,325,203,450,12,2263,8651,3159,19,6143,0
17:30,8026,2912,945,325,202,437,12,2262,8785,3197,49,6246,0
17:35,7853,2925,943,324,202,439,11,2262,8889,3207,12,6361,0
17:40,7663,2916,944,324,202,439,11,2263,9105,3284,-1,6349,0
17:45,7461,2931,945,323,205,466,12,2263,9177,3347,10,6388,0
17:50,7258,2923,945,323,202,513,12,2264,9308,3370,-1,6398,0
17:55,7049,2913,945,324,201,537,12,2263,9205,3372,9,6649,0
18:00,6813,2909,944,326,200,540,12,2262,9111,3406,-6,7014,0
18:05,6559,2924,948,325,201,542,12,2263,8855,3580,27,7204,0
18:10,6291,2910,953,324,200,544,12,2263,8654,3697,30,7449,0
18:15,5993,2906,963,324,201,559,11,2262,8684,3710,34,7728,0
18:20,5672,2918,973,325,200,569,11,2262,8899,3714,32,7802,0
18:25,5346,2960,973,325,200,570,11,2262,9024,3754,58,7895,0
18:30,5010,2972,972,324,200,570,11,2262,9170,3818,58,7933,0
18:35,4660,3011,972,323,201,568,11,2262,9456,3857,38,7973,0
18:40,4290,3052,973,322,201,567,12,2262,9588,3898,55,8114,0
18:45,3936,3066,973,324,201,566,11,2262,9869,3961,35,8106,0
18:50,3565,3037,974,323,201,566,11,2262,10176,3931,68,8243,0
18:55,3204,3023,975,323,201,593,11,2262,10435,3916,44,8299,0
19:00,2839,3018,974,325,201,607,11,2262,10508,4083,30,8363,0
19:05,2507,3003,973,325,202,606,11,2262,10553,4312,18,8397,0
19:10,2187,2998,969,325,202,605,11,2262,10674,4413,-4,8382,0
19:15,1886,2993,969,324,202,604,11,2262,10791,4420,-8,8520,0
19:20,1591,3008,969,322,202,604,11,2263,10821,4389,24,8619,0
19:25,1327,3013,967,322,202,604,11,2262,10943,4363,11,8633,0
19:30,1050,3002,971,322,202,603,11,2261,11096,4365,8,8712,0
19:35,807,3003,974,325,202,604,12,2261,11151,4389,47,8790,0
19:40,622,3043,975,324,202,605,11,2262,11171,4421,65,8833,0
19:45,472,3074,979,325,203,604,11,2262,11230,4581,18,8744,0
19:50,354,3077,980,324,202,605,11,2261,11157,4508,-5,8887,0
19:55,261,3093,981,325,203,605,11,2262,11061,4454,-19,9025,0
20:00,190,3088,981,326,202,607,12,2261,10998,4411,-18,9171,0
20:05,114,3080,982,328,202,583,12,2261,11025,4296,-23,9324,0
20:10,45,3066,980,329,203,554,11,2260,11069,4313,11,9325,0
20:15,21,3060,980,330,202,538,12,2261,11056,4309,-10,9392,0
20:20,4,3071,980,331,202,524,12,2260,11018,4301,-19,9459,0
20:25,4,3085,981,331,203,524,11,2259,11029,4273,-32,9508,0
20:30,4,3090,982,330,202,522,12,2260,11034,4265,-32,9545,0
20:35,4,3096,983,330,202,523,11,2259,11032,4264,-32,9534,0
20:40,4,3099,983,330,202,523,11,2259,11014,4242,-32,9600,0
20:45,4,3109,983,330,203,523,11,2258,10975,4237,-32,9615,0
20:50,4,3114,984,333,202,524,10,2258,10933,4210,-32,9614,0
20:55,4,3109,984,331,202,459,11,2258,10955,4143,-32,9621,0
21:00,4,3100,984,330,202,425,11,2259,10946,4012,-34,9741,0
21:05,4,3081,984,330,202,426,11,2257,10762,3911,-20,9975,0
21:10,4,3052,985,331,202,426,11,2258,10608,3897,-11,10093,0
21:15,4,3020,984,332,202,429,10,2258,10502,3852,-12,10143,0
21:20,4,2990,986,332,202,430,10,2258,10473,3743,-9,10158,0
21:25,4,2965,990,333,202,429,10,2258,10473,3687,-11,10133,0
21:30,4,2950,993,334,202,428,9,2257,10320,3634,-10,10178,0
21:35,4,2911,994,335,201,429,9,2259,9984,3577,-11,10483,0
21:40,4,2884,994,335,201,429,9,2259,9794,3540,-9,10547,0
21:45,4,2869,995,335,201,430,9,2259,9711,3524,-9,10555,0
21:50,4,2849,996,335,202,428,9,2259,9782,3524,-6,10334,0
21:55,4,2841,997,334,202,427,9,2258,9785,3501,-7,10188,0
22:00,4,2831,996,331,201,396,10,2259,9834,3468,-6,9978,0
22:05,4,2826,997,328,201,386,11,2258,9802,3158,46,9963,0
22:10,4,2822,997,327,201,388,10,2258,9839,3116,66,9831,0
22:15,4,2831,997,327,201,366,10,2258,9769,3109,57,9705,0
22:20,4,2832,998,325,201,345,10,2258,9678,3046,-3,9715,0
22:25,4,2819,996,327,202,345,10,2258,9580,3011,-9,9720,0
22:30,4,2822,998,328,201,341,11,2259,9494,2997,-17,9631,0
22:35,4,2825,998,326,202,341,10,2259,9368,2979,-17,9567,0
22:40,4,2821,998,327,202,339,10,2259,9230,2973,-15,9525,0
22:45,4,2829,999,325,201,338,10,2259,9088,2909,-15,9531,0
22:50,4,2832,999,329,201,338,10,2260,8970,2830,-15,9519,0
22:55,4,2839,999,330,201,336,10,2259,8941,2774,-10,9364,0
23:00,4,2855,999,329,201,336,10,2259,8991,2766,-10,9131,0
23:05,4,2842,999,325,201,336,10,2260,8977,2687,-20,8996,0
23:10,4,2848,999,323,200,337,11,2259,9119,2550,32,8783,0
23:15,4,2846,1001,321,201,338,10,2260,9050,2531,23,8676,0
23:20,4,2852,1000,322,200,339,8,2260,8964,2486,-38,8716,0
23:25,4,2870,1001,328,201,338,8,2261,8868,2468,-67,8703,0
23:30,4,2864,1000,335,201,338,9,2260,8631,2474,-57,8760,0
23:35,4,2839,1000,339,199,338,9,2260,8356,2456,-70,8883,0
23:40,4,2812,1000,339,198,337,9,2260,8207,2459,-57,8872,0
23:45,4,2783,999,340,198,337,9,2260,8033,2426,-40,8866,0
23:50,0,2772,1000,342,198,337,9,2259,7927,2363,-23,8836,0
23:55,0,2754,1000,341,198,337,10,2260,7968,2316,-54,8692,0
