Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-60,4534,695,248,161,279,0,1697,5444,3226,2181,7127,0
00:05,-60,4563,691,249,162,280,0,1695,5594,3282,2433,6832,0
00:10,-59,4598,689,247,162,280,0,1695,5731,3477,2433,6510,0
00:15,-59,4640,686,248,162,278,0,1696,5793,3506,2200,6459,0
00:20,-59,4656,686,250,162,278,0,1695,5764,3521,2034,6541,0
00:25,-59,4655,688,249,162,278,0,1697,5789,3434,1775,6685,0
00:30,-60,4651,689,250,162,278,0,1699,5771,3329,1580,6865,0
00:35,-59,4680,689,249,162,278,0,1699,5718,3235,1490,6959,0
00:40,-59,4681,689,249,162,278,0,1699,5615,3212,1407,7046,0
00:45,-59,4689,689,250,162,279,0,1698,5479,3237,1306,7077,0
00:50,-59,4690,689,247,162,281,0,1696,5410,3243,1199,7127,0
00:55,-59,4694,688,246,162,281,0,1697,5400,3197,1075,7199,0
01:00,-59,4706,689,246,162,279,0,1699,5400,3036,990,7288,0
01:05,-59,4710,688,247,162,279,0,1698,5496,3019,775,7367,0
01:10,-60,4742,687,248,162,277,0,1699,5509,3098,698,7269,0
01:15,-60,4751,686,250,162,276,0,1699,5482,3109,577,7273,0
01:20,-61,4737,685,250,162,276,0,1698,5488,3006,576,7271,0
01:25,-60,4711,685,251,162,276,0,1699,5509,2943,561,7196,0
01:30,-60,4710,686,250,162,278,0,1698,5576,2902,486,7090,0
01:35,-60,4728,688,250,161,279,0,1699,5577,2963,386,6998,0
01:40,-60,4769,688,249,161,279,0,1697,5533,3021,241,6977,0
01:45,-60,4798,687,250,161,279,0,1697,5501,2977,100,7052,0
01:50,-60,4779,687,250,161,277,0,1697,5443,2904,115,7119,0
01:55,-60,4745,688,249,161,277,0,1698,5412,2876,21,7207,0
02:00,-60,4712,687,249,160,274,0,1698,5377,2843,-53,7332,0
02:05,-60,4697,688,248,161,274,0,1698,5277,2774,62,7332,0
02:10,-60,4708,687,248,160,274,0,1695,5209,2712,23,7422,0
02:15,-60,4700,686,248,161,274,0,1694,5187,2693,-43,7489,0
02:20,-5,4682,685,248,161,274,0,1694,5119,2694,-90,7550,0
02:25,-60,4665,684,249,161,273,0,1695,5090,2710,-92,7510,0
02:30,-60,4641,683,248,161,274,0,1697,5020,2709,-34,7476,0
02:35,-60,4647,684,248,161,274,0,1696,4931,2713,13,7442,0
02:40,-60,4639,685,248,161,274,0,1698,4898,2704,9,7423,0
02:45,-60,4630,686,249,161,274,0,1698,4893,2706,-4,7357,0
02:50,-60,4588,686,249,161,274,0,1696,4869,2713,-2,7306,0
02:55,-60,4543,685,249,161,274,0,1694,4871,2714,28,7265,0
03:00,-60,4543,684,249,161,274,0,1694,4893,2679,-20,7281,0
03:05,-60,4531,684,247,161,274,0,1695,5010,2621,-108,7312,0
03:10,-60,4503,684,245,161,274,0,1696,5070,2542,-125,7319,0
03:15,-60,4493,685,245,161,274,0,1696,5049,2539,-139,7326,0
03:20,-61,4449,684,244,161,275,0,1697,5003,2529,-136,7370,0
03:25,-61,4439,683,244,161,274,0,1697,4981,2531,-168,7395,0
03:30,-60,4447,683,245,161,274,0,1695,4917,2523,-200,7459,0
03:35,-61,4445,683,246,161,273,0,1695,4920,2521,-217,7442,0
03:40,-14,4408,682,246,161,273,0,1694,4909,2530,-203,7419,0
03:45,-60,4382,682,245,161,274,0,1695,4871,2534,-176,7425,0
03:50,-27,4359,684,246,161,274,0,1697,4857,2535,-162,7397,0
03:55,-60,4327,682,246,161,274,0,1697,4868,2542,-147,7361,0
04:00,-60,4305,683,246,160,274,0,1700,4929,2568,-174,7306,0
04:05,-60,4284,683,244,160,275,0,1699,5096,2622,-325,7296,0
04:10,-60,4194,683,244,159,275,0,1695,5165,2680,-329,7322,0
04:15,-59,4169,683,245,160,275,0,1697,5176,2677,-285,7278,0
04:20,-60,4128,683,244,159,275,0,1697,5180,2672,-300,7321,0
04:25,-60,4086,683,244,160,276,0,1696,5183,2696,-327,7317,0
04:30,-61,4062,682,244,159,276,0,1692,5185,2708,-360,7325,0
04:35,-61,4021,682,244,160,277,0,1690,5163,2706,-312,7358,0
04:40,-61,3980,681,243,159,277,0,1690,5143,2688,-195,7332,0
04:45,-62,3949,681,244,160,277,0,1692,5143,2682,-164,7329,0
04:50,-63,3913,681,241,160,277,0,1693,5142,2690,-178,7351,0
04:55,-64,3888,683,243,154,278,0,1695,5145,2695,-203,7374,0
05:00,-62,3866,681,243,154,275,0,1696,5078,2701,-156,7401,0
05:05,-62,3822,685,243,154,275,0,1699,4935,2711,251,7249,0
05:10,-62,3794,683,241,154,275,0,1700,4848,2742,437,7185,0
05:15,-61,3754,683,241,154,275,0,1698,4857,2746,355,7297,0
05:20,-63,3720,684,242,154,275,0,1697,4856,2744,346,7358,0
05:25,-63,3664,684,243,154,275,0,1696,4859,2753,352,7414,0
05:30,-62,3590,686,242,154,276,0,1691,4854,2753,439,7412,0
05:35,-60,3518,690,241,154,276,0,1693,4861,2754,492,7413,0
05:40,-53,3444,691,239,154,276,0,1693,4867,2755,560,7357,0
05:45,-30,3369,691,239,154,276,0,1694,4857,2756,530,7398,0
05:50,20,3303,691,232,154,276,0,1695,4857,2765,341,7545,0
05:55,119,3253,690,229,153,276,0,1692,4864,2744,377,7453,0
06:00,321,3201,685,238,152,276,0,1692,4937,2683,271,7345,0
06:05,617,3154,683,238,153,276,0,1690,5035,2611,83,7331,0
06:10,988,3139,684,238,152,277,0,1691,5047,2532,41,7144,0
06:15,1442,3083,691,243,152,278,0,1692,4968,2509,65,6771,0
06:20,2002,3013,686,250,153,280,0,1692,4878,2219,64,6628,0
06:25,2650,2966,684,247,153,280,0,1695,4734,2197,0,6269,0
06:30,3355,2891,684,245,153,280,0,1694,4539,2178,-96,5944,0
06:35,4098,2838,684,246,153,279,0,1692,4358,2172,-261,5569,0
06:40,4899,2807,684,245,153,278,0,1690,4218,2174,-611,5305,0
06:45,5733,2783,683,244,153,278,0,1690,4163,2159,-1021,4900,0
06:50,6589,2733,684,243,153,277,0,1691,4157,1880,-1769,4929,0
06:55,7475,2677,683,243,153,277,0,1692,4152,1950,-2406,4691,0
07:00,8382,2628,682,244,153,276,0,1692,3786,1947,-2458,4335,0
07:05,9291,2568,681,244,153,277,0,1693,3045,1858,-1338,3472,0
07:10,10193,2523,681,245,152,278,0,1694,2615,1758,-1418,3321,0
07:15,11066,2469,679,245,154,279,0,1695,2246,1741,-1493,2846,0
07:20,11930,2408,679,245,155,280,0,1694,2050,1460,-1557,2514,0
07:25,12785,2351,677,245,156,281,0,1691,1922,1446,-1977,2226,0
07:30,13621,2282,673,244,155,281,0,1691,1859,1457,-2506,1945,0
07:35,14377,2238,669,245,156,280,0,1692,1798,1439,-2882,1628,0
07:40,15046,2147,670,243,156,279,0,1692,1780,1414,-3261,1343,0
07:45,15622,2119,674,245,156,279,0,1693,1763,1409,-3777,1187,0
07:50,16061,2077,670,245,157,279,0,1694,1764,1370,-4213,1184,0
07:55,16479,2042,664,244,156,279,0,1694,1764,1358,-4428,947,0
08:00,16923,2035,662,243,157,280,0,1693,1759,1344,-4630,673,0
08:05,17350,2032,661,246,158,281,0,1691,1637,1283,-4757,682,0
08:10,17716,2022,661,245,158,274,0,1691,1358,1225,-4701,576,0
08:15,18026,2009,661,244,158,274,0,1691,1228,1212,-4668,274,0
08:20,18288,1938,661,244,158,274,0,1693,1186,1222,-4950,211,0
08:25,18507,1912,664,245,158,275,0,1693,1168,1221,-5143,81,0
08:30,18724,1882,667,244,158,275,0,1694,1138,1216,-5325,-32,0
08:35,18931,1856,667,245,158,275,0,1694,1120,1212,-5526,-71,0
08:40,19119,1841,667,245,158,275,0,1693,1111,1210,-5660,-159,0
08:45,19300,1803,667,245,158,275,0,1691,1099,1219,-5743,-321,0
08:50,19459,1806,666,243,157,275,0,1692,1077,1218,-5903,-397,0
08:55,19607,1786,666,242,157,274,0,1691,1050,1211,-6051,-457,0
09:00,19748,1730,666,244,157,273,0,1692,1043,1217,-6062,-667,0
09:05,19866,1704,666,245,158,273,0,1694,1039,1217,-6200,-600,0
09:10,19975,1664,665,245,158,273,0,1694,1041,1211,-6118,-750,0
09:15,20098,1624,663,245,157,273,0,1694,1068,1209,-6142,-918,0
09:20,20196,1557,665,246,158,274,0,1694,1130,1222,-6196,-1094,0
09:25,20288,1524,670,244,158,274,0,1695,1146,1212,-6184,-1282,0
09:30,20381,1485,675,244,160,276,0,1692,1148,1207,-6166,-1424,0
09:35,20474,1456,677,244,163,276,0,1690,1148,1208,-6184,-1562,0
09:40,20553,1400,676,245,164,276,0,1691,1147,1215,-6112,-1748,0
09:45,20627,1352,677,245,164,276,0,1690,1145,1215,-6021,-1956,0
09:50,20701,1302,681,246,163,277,0,1690,1145,1213,-5795,-2242,0
09:55,20770,1270,678,246,163,276,0,1689,1147,1204,-5788,-2345,0
10:00,20836,1220,676,246,163,276,0,1690,1144,1208,-5897,-2385,0
10:05,20874,1186,676,246,164,274,0,1690,1143,1207,-6664,-1595,0
10:10,20935,1167,676,243,163,274,0,1692,1145,1188,-6774,-1481,0
10:15,20982,1203,675,244,163,273,0,1691,1143,1179,-6734,-1609,0
10:20,21033,1214,674,246,163,272,0,1691,1144,1185,-6567,-1898,0
10:25,21084,1197,674,245,163,272,0,1694,1146,1192,-6439,-2100,0
10:30,21131,1172,673,244,163,274,0,1693,1146,1196,-6389,-2204,0
10:35,21179,1137,673,245,163,274,0,1691,1145,1196,-6390,-2259,0
10:40,21217,1113,673,247,162,273,0,1689,1148,1189,-6315,-2334,0
10:45,21256,1131,675,248,163,274,0,1689,1148,1193,-6302,-2439,0
10:50,21290,1131,676,248,163,276,0,1690,1149,1197,-6270,-2544,0
10:55,21316,1129,676,249,163,276,0,1690,1155,1184,-6253,-2553,0
11:00,21344,1111,676,248,163,275,0,1691,1158,1155,-6232,-2566,0
11:05,21343,1091,676,249,163,275,0,1692,1165,1049,-6315,-2339,0
11:10,21353,1078,675,250,163,275,0,1692,1170,1016,-6324,-2160,0
11:15,21361,1076,675,250,162,275,0,1694,1178,1016,-6230,-2252,0
11:20,21371,1055,675,249,163,275,0,1693,1183,1027,-6244,-2248,0
11:25,21356,1066,674,249,163,275,0,1692,1195,1029,-6146,-2361,0
11:30,21388,1060,673,250,163,276,0,1691,1209,1030,-6104,-2404,0
11:35,21422,1042,672,249,163,276,0,1690,1214,1010,-5958,-2522,0
11:40,21469,1033,671,247,163,275,0,1690,1210,1005,-5818,-2618,0
11:45,21491,1005,671,248,164,274,0,1690,1213,1007,-5713,-2660,0
11:50,21470,1023,671,248,163,274,0,1691,1232,1007,-5713,-2683,0
11:55,21464,1026,673,248,163,274,0,1691,1245,1012,-5856,-2557,0
12:00,21466,1014,673,248,162,274,0,1692,1243,1015,-6033,-2300,0
12:05,21476,1005,671,249,163,274,0,1692,1244,1032,-6303,-2039,0
12:10,21472,1003,662,248,163,275,0,1695,1240,1024,-6393,-1890,0
12:15,21470,972,668,248,164,275,0,1695,1240,1017,-6259,-1943,0
12:20,21483,953,668,250,164,274,0,1696,1241,1026,-6082,-2089,0
12:25,21489,957,671,250,165,274,0,1696,1240,1020,-6029,-2096,0
12:30,21497,965,670,251,164,274,0,1693,1239,1020,-5909,-2134,0
12:35,21493,973,670,249,164,276,0,1693,1239,1005,-5704,-2248,0
12:40,21508,977,669,248,164,275,0,1692,1250,1005,-5571,-2321,0
12:45,21508,973,667,249,164,275,0,1691,1249,1013,-5329,-2504,0
12:50,21510,992,666,248,163,275,0,1692,1247,1010,-5224,-2514,0
12:55,21486,1001,666,249,164,275,0,1692,1241,1005,-5016,-2648,0
13:00,21505,973,668,250,164,274,0,1692,1242,1010,-4913,-2651,0
13:05,21506,977,669,250,162,273,0,1694,1245,1022,-5388,-2214,0
13:10,21487,1009,669,252,163,273,0,1692,1241,1025,-5471,-1980,0
13:15,21478,1067,669,251,162,273,0,1692,1251,1003,-5403,-1911,0
13:20,21470,1062,668,251,162,275,0,1692,1261,999,-5216,-2008,0
13:25,21470,1080,668,251,162,270,0,1692,1264,1004,-5030,-2111,0
13:30,21472,1120,668,251,162,270,0,1692,1257,1011,-4826,-2264,0
13:35,21466,1145,668,251,161,270,0,1692,1256,1005,-4609,-2372,0
13:40,21445,1178,667,251,161,269,0,1693,1254,1016,-4290,-2581,0
13:45,21434,1229,666,251,162,269,0,1691,1256,1015,-4027,-2691,0
13:50,21418,1239,666,251,162,270,0,1690,1256,1010,-3741,-2808,0
13:55,21383,1253,665,253,161,269,0,1689,1263,1014,-3388,-2989,0
14:00,21348,1226,664,251,161,269,0,1688,1276,1016,-3085,-3130,0
14:05,21336,1267,665,252,161,268,0,1689,1272,1014,-3135,-3043,0
14:10,21322,1285,666,252,161,267,0,1689,1268,1014,-2989,-2973,0
14:15,21313,1282,667,252,161,266,0,1689,1270,1021,-2810,-3026,0
14:20,21263,1311,667,252,162,265,0,1691,1272,1027,-2710,-2955,0
14:25,21222,1322,667,252,162,265,0,1692,1276,1026,-2451,-3032,0
14:30,21201,1323,667,253,162,264,0,1692,1287,1030,-2332,-2996,0
14:35,21200,1331,667,252,162,265,0,1693,1287,1021,-2216,-2950,0
14:40,21190,1348,667,252,162,265,0,1693,1325,1020,-2130,-2914,0
14:45,21161,1321,667,253,162,266,0,1693,1414,1031,-2160,-2752,0
14:50,21123,1330,667,252,163,268,0,1692,1461,1026,-2074,-2701,0
14:55,21083,1388,666,253,162,268,0,1692,1492,1033,-1896,-2707,0
15:00,21034,1431,666,251,162,267,0,1694,1501,1077,-1815,-2659,0
15:05,21001,1424,666,252,162,267,0,1694,1474,1232,-1972,-2398,0
15:10,20946,1455,666,252,158,266,0,1694,1455,1259,-1904,-2343,0
15:15,20895,1455,665,252,158,265,0,1691,1506,1259,-1876,-2277,0
15:20,20841,1519,666,253,158,263,0,1690,1573,1546,-1996,-2314,0
15:25,20803,1572,667,253,158,262,0,1690,1615,1552,-1766,-2474,0
15:30,20758,1572,668,252,158,262,0,1690,1654,1560,-1460,-2607,0
15:35,20681,1635,670,254,158,262,0,1691,1685,1574,-1266,-2653,0
15:40,20582,1668,669,253,158,264,0,1691,1685,1568,-917,-2728,0
15:45,20523,1673,670,254,158,264,0,1692,1716,1567,-723,-2679,0
15:50,20481,1717,672,254,158,266,0,1692,1750,1564,-582,-2593,0
15:55,20419,1779,673,252,158,265,0,1692,1799,1563,-486,-2559,0
16:00,20324,1784,672,253,158,265,0,1694,1879,1593,-437,-2448,0
16:05,20238,1817,670,253,158,264,0,1693,1961,1650,-945,-2070,0
16:10,20172,1854,672,253,158,264,0,1694,1964,1662,-897,-1906,0
16:15,20090,1885,670,254,158,264,0,1694,1980,1664,-753,-1820,0
16:20,19988,1890,671,254,158,265,0,1695,2040,1969,-547,-2067,0
16:25,19892,1956,670,254,158,265,0,1696,2135,1984,-494,-1974,0
16:30,19809,2031,672,254,158,265,0,1695,2292,1983,-568,-1782,0
16:35,19701,2126,673,253,158,265,0,1694,2474,1981,-574,-1659,0
16:40,19583,2217,673,251,159,265,0,1694,2624,1994,-490,-1614,0
16:45,19468,2326,673,251,158,266,0,1695,2699,2000,-289,-1583,0
16:50,19347,2420,674,252,158,267,0,1695,2771,2000,-223,-1423,0
16:55,19212,2517,674,253,157,267,0,1694,2868,1995,-128,-1306,0
17:00,18918,2589,674,253,158,266,0,1695,3004,2001,4,-1280,0
17:05,18235,2610,675,253,157,263,0,1694,3089,1926,-158,-500,0
17:10,17791,2617,673,252,156,259,0,1690,3382,1910,-314,-62,0
17:15,17504,2629,673,251,156,257,0,1690,3670,1987,-352,17,0
17:20,17091,2679,673,250,157,257,0,1690,3868,2033,-250,241,0
17:25,16804,2738,672,254,158,256,0,1690,4027,1987,-20,342,0
17:30,16515,2764,673,254,157,256,0,1690,4117,1915,454,337,0
17:35,16300,2786,679,253,157,258,0,1691,4184,1866,897,210,0
17:40,16006,2800,683,252,158,259,0,1692,4379,1860,1267,136,0
17:45,15801,2812,682,253,157,259,0,1692,4527,1893,1701,-52,0
17:50,15710,2850,677,254,157,258,0,1692,4710,1914,1899,-285,0
17:55,15325,2866,678,253,157,258,0,1693,4834,1890,2131,-100,0
18:00,14788,2881,679,253,158,259,0,1693,5057,2132,1886,239,0
18:05,14163,2911,675,251,158,258,0,1692,5229,2438,888,1311,0
18:10,13647,2919,675,249,157,257,0,1693,5376,2606,645,1846,0
18:15,13073,2960,675,251,159,257,0,1694,5589,2705,950,1831,0
18:20,12618,2925,674,251,159,257,0,1694,5758,3010,1214,1687,0
18:25,11920,2954,674,251,159,257,0,1695,5782,3024,1896,1720,0
18:30,11251,2973,673,250,158,257,0,1695,5813,3017,2777,1611,0
18:35,10540,3010,672,251,157,257,0,1696,5851,3281,3347,1492,0
18:40,9916,3080,664,255,158,257,0,1696,5853,3427,4027,1347,0
18:45,9238,3107,667,253,158,257,0,1696,5945,3459,4688,1316,0
